CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
699,34,7,738051.2113790426,1,1,1,4395300.867336499,0
636,42,2,1233369.2694100975,2,1,1,6683264.51153015,0
714,33,9,963842.6433660357,4,1,0,5368434.4590601865,0
802,40,7,574703.7428893825,2,0,1,6219902.774663955,0
626,18,7,26875.97683929059,1,0,0,4536262.98674842,0
626,48,4,763580.2778478906,2,1,1,4315965.30839045,0
807,45,7,933815.5790853141,3,1,0,2693034.938222713,0
726,32,5,802429.5699451612,2,1,1,4259926.774863606,0
603,54,4,355125.3428969825,2,1,1,0.0,0
704,59,8,132570.25245172647,2,1,1,3819556.06738873,0
603,20,6,933230.6533752659,4,1,1,4836251.645618322,0
603,33,7,649440.0171862972,4,1,1,6127347.308540313,0
674,33,0,1975412.4372645633,2,1,1,4462644.244950087,0
458,30,10,84619.31501505029,3,1,1,5695347.084489999,1
477,57,1,127875.07201688288,2,1,0,640422.6772195091,1
593,42,7,119000.53347681457,2,1,1,4886326.295586101,0
548,41,8,786407.8044329922,1,1,1,1640994.4141731933,0
681,18,3,103455.07471411735,2,1,1,2583392.9686813345,0
559,54,9,34492.77316223281,2,1,0,4625668.904272278,0
508,26,10,2000000.0,1,1,1,7552527.975747108,1
796,45,9,12565.175057370789,2,1,0,5742413.526940118,0
627,49,8,901645.0262927483,3,0,0,5036461.994274234,0
656,65,3,227354.07512681306,2,1,1,4960939.221065796,1
507,25,9,921364.7019230538,2,0,0,3572742.2135910653,0
595,18,9,404414.26576434955,4,1,0,3912033.1732546324,0
661,47,9,1159515.9490631032,1,1,1,5854752.090941594,0
534,72,8,1303150.758429547,2,1,0,2229278.9631110113,1
687,63,10,4569.911248703786,3,0,0,6186108.100566043,1
589,48,6,39203.61822242118,2,1,0,4222985.865762294,1
620,37,1,144080.24648555153,2,1,1,6651114.14973913,0
589,57,8,553295.1387243615,1,1,1,6922186.914464166,0
835,30,3,1095844.8458592435,3,0,1,1653831.9749885201,0
648,52,7,308039.32379874884,2,1,0,3836838.473545564,1
544,52,6,466938.6315128416,3,1,0,3288944.624118753,1
732,60,6,104435.35531477729,2,0,0,1374544.0698537142,0
527,80,7,817292.8261113908,2,1,1,2934933.4475811785,0
670,50,0,1710620.1226144657,3,1,1,9882511.69053068,0
454,37,4,156396.657152553,2,1,0,6219019.79242488,1
517,44,1,341426.12939454993,2,1,0,8834575.937211508,0
669,18,1,45025.87558132413,2,1,0,6658196.880036672,0
723,34,0,409510.16507921054,3,1,1,3516313.6779830493,0
667,38,4,349364.8085488875,2,1,1,4236457.606651914,0
638,37,1,77997.47214277023,2,0,1,6176872.360480615,0
619,47,3,291757.49257179286,1,0,1,5875012.406946072,0
502,32,2,203311.37802694857,4,1,1,3845315.9685833324,0
578,61,2,368895.39585806,1,1,0,1980013.6588415862,1
603,45,1,440527.3574731803,2,1,0,11575522.374777477,0
755,44,5,4265.935867707807,2,1,1,4717700.655314389,1
684,40,1,715658.3803128508,2,1,1,4348522.21363476,0
473,47,7,624161.4309450587,2,1,1,5226668.927810604,1
682,57,7,228079.069928789,1,0,1,4514542.821377942,0
611,31,4,27194.269104838222,2,1,1,5245457.815410967,0
582,35,9,703110.8792612709,3,1,1,7573894.572232839,0
711,40,6,1552496.419800347,3,1,1,4750903.040627153,0
753,24,3,137318.16702412805,1,0,1,2674579.1213444774,0
743,32,0,195429.60798780617,3,1,0,4676712.411042778,1
566,37,10,101555.82409906038,2,0,1,4071196.4371801782,0
619,58,1,430116.0513477376,3,0,1,7847797.874493703,0
683,48,9,84115.48529804211,2,0,0,7342238.129475141,0
747,47,9,220178.87633851243,2,1,1,5215050.000861597,0
602,57,3,597032.7123366266,4,1,1,2442528.2903614873,0
631,42,0,410622.09228317114,3,1,0,2548215.4731201082,1
539,50,7,244256.99842621965,2,1,1,5030246.523169108,1
530,43,8,272578.8080059808,2,1,0,5672645.938642561,0
731,48,3,412894.7786646454,2,1,1,4250754.36134789,0
785,36,9,2940.996470037823,2,1,1,4039660.8315855316,0
642,18,2,40881.60552454596,2,0,0,3814401.5336427065,0
750,42,1,1065401.3887161445,2,1,0,4953212.079512107,0
686,66,4,40539.40788187814,3,1,1,234475.29585387,0
585,58,2,613456.2872142879,1,1,0,2797346.74246058,1
686,59,9,1263102.904748308,2,1,0,3745898.309105299,0
803,63,6,157823.81391324318,1,1,1,7415006.389903842,0
646,46,10,231407.91141269094,2,0,0,3372372.7161421413,0
806,47,5,420732.42623709067,1,1,0,5360936.283662413,1
388,35,0,1067303.665996556,2,1,1,5453085.501861992,1
732,40,7,1422842.893010418,3,1,1,7595833.011321524,0
658,54,1,672697.6211605292,3,1,1,7525154.8139283005,0
620,63,4,45301.506429202636,2,1,1,4884994.062410167,0
659,42,8,553051.3693904129,2,1,0,4049030.5176211144,0
451,38,7,264073.82873178314,2,1,0,3672333.7943486194,1
628,45,1,318100.8942230927,3,0,0,4517873.555068438,0
685,54,8,25198.63236322508,3,1,1,4131933.2913528,0
797,23,4,106016.58747167692,2,1,1,6107254.818716464,0
598,18,9,781548.2470786789,2,0,1,5840619.634970409,0
569,36,5,302530.4543656135,3,1,1,6183602.382290032,0
599,26,2,179526.1993738553,1,1,1,7518567.422872337,0
741,37,2,242269.64007842354,2,1,0,8725738.242800355,0
682,42,9,963444.4003408663,4,0,1,5249326.786815113,0
597,38,7,691149.2125683641,3,1,0,7198927.542791307,1
701,66,10,158943.78127310055,2,1,0,4296679.63233157,1
659,49,9,62499.28770167232,2,1,1,7370013.967166031,0
746,49,9,145174.96176464923,2,1,1,7123018.314351688,0
579,54,1,1267614.6354297877,2,0,1,7016831.939885982,0
617,27,10,435645.3442039596,2,1,1,5188139.682383047,0
610,60,1,381227.4173051322,2,0,0,3663283.6720182225,0
503,43,4,453657.5662909962,3,0,1,2210943.124269047,0
679,55,5,227875.45436758382,3,1,1,4919925.584957802,0
676,28,1,822809.8766509944,1,1,0,8066025.084498366,0
650,21,4,370419.53579135257,2,1,1,4380310.197271854,0
626,57,6,62072.30914884593,2,0,1,6570253.170920109,0
508,50,9,69094.03755384238,2,1,1,6687902.801037862,1
607,31,9,384862.0259721895,2,1,1,4432627.558145654,0
615,31,7,1378910.89065929,2,1,1,7632689.675039039,0
569,61,6,184339.14961179782,3,1,1,0.0,0
633,27,7,1018348.7860880782,2,1,0,2554499.44252365,1
690,69,8,722164.2919395397,4,1,0,3168735.4072830807,0
838,31,4,142384.7875510038,4,0,0,3360569.95426522,0
667,54,4,18508.7601075609,1,1,0,5672525.902371791,1
675,40,10,53707.57089104837,2,1,1,5580075.606107804,0
642,54,9,651885.3983771998,4,1,1,5787981.144350016,0
458,36,3,111365.40452741226,4,1,0,6192162.988264974,1
647,42,8,232027.41564568234,1,1,0,3099790.8617087016,1
656,45,4,348275.6500092622,1,0,0,2563647.866385362,1
850,29,1,646344.0314127132,1,0,1,5792639.364015726,0
630,56,9,60085.505383638665,4,1,1,3739535.8527071215,0
680,37,7,260746.4969237068,1,0,1,1859049.9092640588,0
646,41,6,331864.9797457036,2,1,1,6942688.569082963,0
533,30,7,389164.1864669493,3,1,0,7790203.813004595,1
764,18,2,852866.0519464122,1,1,0,8114321.779397318,0
725,42,3,94176.77338678563,2,1,0,5374015.44294944,0
729,80,4,824691.2184870448,2,1,0,6251864.191945805,0
559,56,5,590255.8043972669,3,1,1,7739736.446723822,0
790,44,0,405819.8999294619,2,0,1,3717168.4199531316,0
509,41,3,601200.1380360441,2,1,1,7221355.368108184,0
708,45,10,265529.24991185596,2,1,1,5550792.468286417,0
850,53,9,74480.67567136398,2,1,0,6827423.304685182,1
550,27,4,547955.8297241573,1,0,0,5372186.041751871,1
593,61,6,371875.41607196105,2,1,1,7592513.419496004,1
659,55,4,509958.0443161509,2,1,1,5447047.525083073,0
599,55,0,206243.94085006614,3,1,0,2032041.8810651647,1
494,51,10,1186861.0808496915,3,1,1,7903853.264629444,1
656,45,6,442601.82641891163,2,1,1,3104938.518055776,0
543,55,7,44635.59201065018,2,1,1,7506116.420487829,0
697,53,6,298740.3418533391,2,0,1,4819514.237119356,0
558,39,10,706023.680085109,3,1,1,7352021.970395413,0
804,36,3,790266.2679606205,2,1,1,7269537.22973353,0
571,46,7,341199.6262763406,2,1,1,5860285.948630743,0
617,68,4,1125696.8633491735,2,1,1,6017070.635254262,0
731,26,9,155760.95646060922,2,0,0,5845257.234385132,0
526,22,8,264323.9991812347,2,0,1,972350.4874378443,0
672,47,9,1144325.8602637753,2,1,0,5236660.437796405,1
780,45,4,1132917.9295211618,1,1,0,2767871.64785621,1
489,47,0,578723.981117883,3,1,1,5342374.287491326,1
668,48,8,979428.7172239418,2,1,1,2714114.9072335693,0
675,41,4,46481.76449809847,1,1,0,2630096.11754785,0
728,67,5,1001221.6439801867,2,1,0,8209869.003507804,0
526,20,3,193287.2619382958,2,1,0,7138894.77624838,0
517,32,5,98209.13253210379,2,1,1,4991714.830111691,0
702,43,7,136804.01327971162,2,1,0,5369537.300498048,0
679,20,2,270615.3613864073,2,1,0,4504167.948513982,0
675,42,4,144636.33813210225,2,1,1,6139752.751959046,0
684,69,1,193248.7573370595,2,1,0,3647891.26690239,0
581,45,1,72500.45038303666,1,1,1,6987480.525735915,0
673,48,6,175614.0208967916,3,1,1,4493826.317971778,0
679,26,9,424647.71072458645,2,1,0,4160306.0083375424,0
578,35,9,291567.08954102703,2,0,1,5043426.036969685,0
836,39,10,212873.77759519636,1,1,1,3817706.3401487786,0
697,40,9,686101.3164893697,2,1,1,5657364.698992966,0
530,64,5,1119851.9631611565,2,1,1,3925274.8213732005,1
715,53,3,706913.4080741263,2,0,0,5937047.205637672,0
552,28,4,201734.07826020688,3,0,1,7432013.077822953,0
728,48,0,682153.2729895245,1,0,1,3561356.626383653,0
765,52,6,82425.63686965275,2,1,0,4738849.085409657,0
567,62,7,69813.81884970999,3,0,0,5922661.426070844,0
746,68,8,212038.9051557105,4,1,0,4128285.2900371864,0
691,29,7,824355.4729925832,1,0,0,5928641.1216533305,1
732,32,4,141412.44201820315,2,0,1,6110797.72130348,0
